2024-04-30 00:20:40  | User: user1       | User logged in   
2024-04-30 00:37:03  | User: manager1    | User logged in   
2024-04-30 00:37:27  | User: ss          | User logged in   
2024-04-30 00:39:29  | User: ss          | User logged in   
2024-04-30 00:40:45  | User: ss          | User logged in   
2024-04-30 00:41:31  | User: ss          | User logged in   
2024-04-30 00:42:11  | User: ss          | User logged in   
2024-04-30 00:42:40  | User: ss          | User logged in   
2024-04-30 00:43:09  | User: ss          | User logged in   
2024-04-30 00:43:43  | User: ss          | User logged in   
2024-04-30 00:44:35  | User: ss          | User logged in   
2024-04-30 00:46:00  | User: ss          | User logged in   
2024-04-30 00:46:22  | User: user1       | User logged in   
